galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID2270-UGC08778,0.0,1.0,0.0,1.0
VFID2271-UGC06433,0.0,1.0,0.0,1.0
VFID2294-WISEAJ150315.55+374557.8,0.0,1.0,0.0,0.0
VFID2295-NGC3652,0.0,0.0,0.0,0.0
VFID2297-MRK1119,0.0,1.0,0.0,1.0
VFID2315-NGC3294,0.0,0.0,0.0,0.0
VFID2326-IC2461,0.0,1.0,0.0,0.0
VFID2331-NGC5005,0.0,0.0,0.0,0.0
VFID2336-NGC3941,0.0,0.0,0.0,0.0
VFID2345-NGC6207,0.0,0.0,0.0,0.0
VFID2348-MRK0465,0.0,1.0,0.0,1.0
VFID2357-UGC06517,0.0,0.0,0.0,0.0
VFID2366-NGC3432,0.0,1.0,0.0,0.0
VFID2370-NGC5033,0.0,0.0,0.0,0.0
VFID2372-NGC5544,0.0,1.0,0.0,0.0
VFID2374-NGC3813,0.0,0.0,0.0,0.0
VFID2381-NGC5557,0.0,0.0,0.0,0.0
VFID2389-NGC3755,0.0,0.0,0.0,0.0
VFID2403-NGC5014,0.0,0.0,0.0,0.0
VFID2407-NGC2543,0.0,1.0,0.0,1.0
VFID2410-NGC5529,0.0,1.0,0.0,0.0
VFID2420-UGC11000,0.0,0.0,0.0,0.0
VFID2450-NGC2719,0.0,0.0,0.0,0.0
VFID2457-NGC5273,0.0,1.0,0.0,1.0
VFID2467-UGC09560,0.0,0.0,0.0,0.0
VFID2482-UGC09113,0.0,1.0,0.0,0.0
VFID2484-NGC3694,0.0,0.0,0.0,0.0
VFID2492-UGC06570,0.0,1.0,0.0,1.0
VFID2494-NGC5656,0.0,0.0,0.0,0.0
VFID2500-UGC05738,0.0,0.0,0.0,0.0
VFID2515-UGC04621,0.0,0.0,0.0,0.0
VFID2528-NGC2780,0.0,0.0,0.0,0.0
VFID2533-UGC08323,0.0,-999.0,0.0,1.0
VFID2539-MRK0429,0.0,0.0,0.0,0.0
VFID2546-NGC3381,0.0,0.0,0.0,0.0
VFID2560-NGC2859,0.0,0.0,0.0,0.0
VFID2562-UGC05990,0.0,0.0,0.0,0.0
VFID2570-UGC09519,0.0,1.0,0.0,1.0
VFID2593-NGC3442,0.0,0.0,0.0,0.0
VFID2619-NGC3021,0.0,0.0,0.0,0.0
VFID2622-NGC5347,0.0,1.0,0.0,-999.0
VFID2627-NGC2683,0.0,0.0,0.0,0.0
VFID2628-NGC3003,0.0,0.0,0.0,0.0
VFID2630-UGC06070,0.0,0.0,0.0,0.0
VFID2648-NGC4203,0.0,1.0,0.0,1.0
VFID2658-UGC06892,0.0,-999.0,0.0,1.0
VFID2659-NGC2770,0.0,0.0,0.0,0.0
VFID2667-NGC3396,0.0,0.0,0.0,0.0
VFID2672-NGC3430,0.0,0.0,0.0,0.0
VFID2693-NGC3413,0.0,0.0,0.0,0.0
VFID2711-NGC4631,0.0,0.0,0.0,0.0
VFID2718-NGC3935,0.0,1.0,0.0,1.0
VFID2723-NGC3067,0.0,0.0,0.0,0.0
VFID2725-NGC3991,0.0,1.0,0.0,1.0
VFID2737-NGC4656,0.0,0.0,0.0,1.0
VFID2754-NGC3966,0.0,1.0,0.0,0.0
VFID2762-NGC3788,0.0,1.0,0.0,1.0
VFID2767-NGC4062,0.0,0.0,0.0,0.0
VFID2774-NGC2964,0.0,0.0,0.0,0.0
VFID2782-NGC5974,0.0,0.0,0.0,0.0
VFID2797-NGC4359,0.0,0.0,0.0,0.0
VFID2814-IC2957,0.0,1.0,0.0,0.0
VFID2821-NGC4414,0.0,0.0,0.0,0.0
VFID2824-FBQSJ085533.2+311242,0.0,0.0,0.0,1.0
VFID2858-MRK0689,0.0,1.0,0.0,1.0
VFID2876-NGC4150,0.0,0.0,0.0,0.0
VFID2882-UGC06271,0.0,1.0,0.0,0.0
VFID2885-NGC5089,0.0,0.0,0.0,0.0
VFID2893-UGC04559,0.0,1.0,0.0,0.0
VFID2901-NGC5798,0.0,0.0,0.0,0.0
VFID2911-NGC4314,0.0,0.0,0.0,0.0
VFID2914-UGC07017,0.0,1.0,0.0,0.0
VFID2915-UGC03777,0.0,0.0,0.0,0.0
VFID2917-UGC07012,0.0,0.0,0.0,0.0
VFID2935-NGC4274,0.0,1.0,0.0,1.0
VFID2937-NGC4245,0.0,1.0,0.0,1.0
VFID2944-NGC2893,0.0,1.0,0.0,1.0
VFID2945-NGC2604,0.0,0.0,0.0,0.0
VFID2947-NGC3687,0.0,0.0,0.0,0.0
VFID2950-NGC3254,0.0,0.0,0.0,0.0
VFID2966-IC2429,0.0,0.0,0.0,1.0
VFID2968-NGC4278,0.0,0.0,0.0,0.0
VFID2970-NGC3032,0.0,0.0,0.0,0.0
VFID2975-NGC4310,0.0,0.0,0.0,0.0
VFID2977-NGC5375,0.0,0.0,0.0,0.0
VFID2994-NGC3486,0.0,0.0,0.0,0.0
VFID2997-NGC4793,0.0,0.0,0.0,0.0
VFID3006-NGC3265,0.0,0.0,0.0,0.0
VFID3020-NGC5958,0.0,0.0,0.0,0.0
VFID3023-VV279b,0.0,1.0,0.0,1.0
VFID3025-NGC4448,0.0,0.0,0.0,0.0
VFID3029-NGC3380,0.0,0.0,0.0,0.0
